Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K48,Nelliel,+316.21%,+227.60%,+256.10%,+40.00%,-40.00%,+279.80%,+11.40%,+846.20%,+1084.42%,+1111.13%,+132.75%,-139.25%,+71.00%,+158.00%,+1394.35%,+1012.50%,+697.50%,+134.75%,-122.75%,+63.00%,+55.00%,+1724.00%,+1153.50%,+728.35%,+56.50%,-47.25%,+348.00%,+154.00%,+1222.70%,+501.20%,+661.50%,+39.50%,-19.00%,+62.00%,+55.00%,+20.00%
K48,warf,+312.10%,+296.60%,+314.10%,+39.00%,-38.50%,+427.40%,+280.68%,+1214.70%,+1019.92%,+1709.62%,+134.75%,-136.25%,+215.00%,+249.00%,+2306.05%,+1565.50%,+1013.20%,+131.25%,-124.75%,+195.00%,+215.00%,+1238.20%,+675.00%,+1400.05%,+138.25%,-136.75%,+236.00%,+224.00%,+1426.20%,+665.50%,+1221.00%,+121.00%,-112.50%,+99.00%,+59.00%,+23.00%
K48,CD,+524.10%,+434.10%,+439.10%,+47.50%,-47.50%,+600.00%,+600.00%,+2330.20%,+3039.50%,+2488.20%,+186.50%,-236.50%,+900.00%,+900.00%,+2723.35%,+1775.50%,+1521.50%,+214.50%,-196.50%,+900.00%,+900.00%,+2778.50%,+1708.00%,+1378.35%,+214.50%,-184.50%,+900.00%,+900.00%,+2115.50%,+1366.50%,+1727.50%,+204.50%,-184.50%,+900.00%,+900.00%,+23.50%
K57,Lulu,+326.85%,+203.10%,+234.10%,+43.75%,-41.50%,+579.04%,+149.36%,+830.70%,+1536.62%,+966.00%,+55.25%,-71.00%,+94.00%,+239.00%,+1223.00%,+1019.00%,+707.70%,+146.50%,-126.50%,+147.00%,+131.00%,+2395.55%,+1742.70%,+963.00%,+173.50%,-146.75%,+513.00%,+349.00%,+1268.50%,+433.50%,+948.00%,+148.50%,-126.50%,+136.00%,+72.00%,+20.00%
K57,SkyJourney,+414.10%,+494.10%,+464.10%,+47.50%,-47.50%,+600.00%,+600.00%,+1885.70%,+2671.00%,+2330.20%,+138.50%,-232.75%,+575.00%,+700.00%,+2548.35%,+2088.00%,+1699.00%,+172.00%,-184.50%,+692.00%,+491.00%,+1996.00%,+1752.00%,+1650.35%,+182.00%,-196.50%,+692.00%,+426.00%,+1921.00%,+1445.50%,+1643.50%,+159.50%,-184.50%,+488.00%,+314.00%,+21.50%
K57,[TFC]BreadStick ╰_╯,+336.35%,+254.10%,+309.10%,+43.75%,-40.00%,+600.00%,+304.74%,+1107.70%,+1537.62%,+829.57%,+41.00%,-61.75%,+93.00%,+327.00%,+1684.50%,+1220.00%,+861.70%,+166.25%,-134.75%,+299.00%,+172.00%,+2535.05%,+1836.70%,+1225.50%,+172.00%,-148.75%,+498.00%,+229.00%,+1400.50%,+503.50%,,,,,+20.00%,
K57,[TFC]H3MC,+276.21%,+238.60%,+267.10%,+39.00%,-39.00%,+307.24%,+212.48%,+753.20%,+1741.04%,+1282.50%,+136.75%,-142.25%,+99.00%,+200.00%,+1040.25%,+1026.50%,+720.70%,+136.00%,-116.50%,+90.00%,+59.00%,+2233.05%,+1602.20%,+792.50%,+152.50%,-134.75%,+316.00%,+204.00%,+762.45%,+588.20%,+319.00%,+35.85%,-25.00%,+25.00%,+67.00%,+20.50%
K57,[TFC]SIMA,+284.71%,+241.60%,+247.10%,+37.50%,-38.50%,+299.44%,+179.00%,+828.20%,+1533.62%,+1372.42%,+130.50%,-142.25%,+118.00%,+111.00%,+955.75%,+838.00%,+471.35%,+37.15%,-29.00%,+49.00%,+40.00%,+2203.80%,+1425.20%,+1112.70%,+133.75%,-128.75%,+387.00%,+187.00%,+912.80%,+604.20%,+274.00%,+33.05%,-25.00%,+25.00%,+29.00%,+26.00%
K57,[TFC]WascallyWabbit,+274.10%,+224.10%,+243.10%,+39.00%,-40.00%,+181.88%,+176.88%,+1043.70%,+1349.62%,+1072.50%,+130.50%,-128.00%,+156.00%,+175.00%,+1156.50%,+912.50%,+586.70%,+60.30%,-46.80%,+102.00%,+118.00%,+2020.05%,+1599.70%,+994.00%,+142.00%,-124.50%,+337.00%,+274.00%,+1329.50%,+354.50%,+726.00%,+32.50%,-19.00%,+84.00%,+93.00%,+20.00%
K57,[TFC]Slawxx,+296.10%,+280.10%,+298.60%,+41.50%,-41.50%,+274.04%,+392.44%,+582.70%,+1019.42%,+1583.62%,+128.50%,-141.75%,+136.00%,+361.00%,+2370.55%,+1868.05%,+944.00%,+147.00%,-132.50%,+313.00%,+296.00%,+1295.70%,+792.70%,+1075.20%,+142.25%,-122.50%,+227.00%,+163.00%,+923.50%,+347.50%,+868.00%,+44.30%,-25.80%,+172.00%,+101.00%,+24.00%
